oneid	user_upload_tag_no_weight	upload_crowd	enlarged_crowd	icrowd_crowd
131167381828403760	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220454800200621	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220455872712109	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:23	UxbhJ	NULL	NULL
80220457215263917	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
364307786311467833	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:14	UxbhJ	NULL	NULL
80220486207217186	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:2	UxbhJ	NULL	NULL
162974272434733573	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
163818600191229983	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220462047682860	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220462315020972	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220381785933309	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220479226480871	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:6	UxbhJ	NULL	NULL
106679110662619240	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:3	UxbhJ	NULL	NULL
107805190152782145	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:3	UxbhJ	NULL	NULL
224405925451087998	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:5	UxbhJ	NULL	NULL
80220605659891145	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:9	UxbhJ	NULL	NULL
